시도,시군구,총_음식점수,인구수,인구만명당음식점수,경쟁강도_0to100,경쟁강도_등급,음식점다양성_0to100,음식점종류수,최종_경쟁강도_지수
부산광역시,중구,2946,38442,766.35,100.0,매우 높음 (Very High),54.86,8,81.94
경상북도,울릉군,344,5630,611.01,76.74,높음 (High),51.02,7,66.45
대구광역시,중구,4417,76948,574.02,71.21,높음 (High),55.86,8,65.07
경상북도,영덕군,1454,28465,510.8,61.74,높음 (High),56.63,8,59.7
강원특별자치도,속초시,3225,65962,488.92,58.47,중간 (Medium),56.96,8,57.87
강원특별자치도,양양군,1076,21747,494.78,59.34,중간 (Medium),54.5,8,57.4
인천광역시,옹진군,625,13104,476.95,56.67,중간 (Medium),53.25,7,55.3
강원특별자치도,화천군,774,15368,503.64,60.67,높음 (High),42.9,7,53.56
서울특별시,중구,6551,151422,432.63,50.04,중간 (Medium),57.07,8,52.85
강원특별자치도,고성군,956,22369,427.38,49.25,중간 (Medium),53.14,8,50.81
서울특별시,종로구,6663,167487,397.82,44.83,중간 (Medium),56.03,8,49.31
강원특별자치도,인제군,1086,23023,471.7,55.89,중간 (Medium),36.64,7,48.19
충청남도,태안군,1955,50884,384.21,42.79,중간 (Medium),56.28,8,48.19
강원특별자치도,평창군,1481,33477,442.39,51.5,중간 (Medium),41.29,8,47.42
강원특별자치도,삼척시,1776,46317,383.44,42.67,중간 (Medium),52.95,8,46.78
제주특별자치도,서귀포시,6217,152728,407.06,46.21,중간 (Medium),47.31,8,46.65
경상북도,울진군,1497,38828,385.55,42.99,중간 (Medium),49.82,8,45.72
전북특별자치도,부안군,1438,36867,390.05,43.66,중간 (Medium),48.56,8,45.62
강원특별자치도,정선군,1153,27797,414.79,47.37,중간 (Medium),42.11,8,45.27
충청북도,단양군,969,22700,426.87,49.18,중간 (Medium),38.76,8,45.01
경상남도,남해군,1138,32502,350.13,37.69,낮음 (Low),55.89,8,44.97
강원특별자치도,철원군,1274,32054,397.45,44.77,중간 (Medium),41.37,8,43.41
경기도,가평군,2211,50984,433.67,50.19,중간 (Medium),33.17,8,43.38
강원특별자치도,강릉시,5984,178746,334.78,35.39,낮음 (Low),54.53,8,43.05
경상남도,통영시,3263,98716,330.54,34.75,낮음 (Low),55.41,8,43.01
경상남도,창원시 마산합포구,4620,142864,323.38,33.68,낮음 (Low),56.44,8,42.78
울산광역시,남구,9078,267484,339.38,36.08,낮음 (Low),52.67,8,42.72
강원특별자치도,양구군,604,15743,383.66,42.71,중간 (Medium),41.63,8,42.28
광주광역시,동구,2977,90145,330.25,34.71,낮음 (Low),53.07,8,42.05
강원특별자치도,동해시,2435,71625,339.97,36.17,낮음 (Low),50.69,8,41.98
서울특별시,강남구,15146,525205,288.38,28.44,낮음 (Low),61.62,8,41.71
강원특별자치도,태백시,1146,29672,386.22,43.09,중간 (Medium),39.4,8,41.61
부산광역시,기장군,3915,125201,312.7,32.08,낮음 (Low),55.57,8,41.48
경상북도,포항시 남구,6565,192163,341.64,36.42,낮음 (Low),48.89,8,41.41
경상남도,하동군,1162,32033,362.75,39.58,낮음 (Low),44.13,8,41.4
인천광역시,강화군,1940,52412,370.14,40.68,중간 (Medium),41.44,8,40.98
충청남도,보령시,2763,80523,343.13,36.64,낮음 (Low),47.47,8,40.97
경상남도,사천시,2880,87513,329.09,34.54,낮음 (Low),50.58,8,40.96
부산광역시,수영구,4321,146375,295.2,29.46,낮음 (Low),58.17,8,40.94
경기도,연천군,1191,33134,359.45,39.08,낮음 (Low),43.28,8,40.76
경상남도,거제시,6268,207276,302.4,30.54,낮음 (Low),56.04,8,40.74
충청북도,증평군,1099,32134,342.01,36.47,낮음 (Low),47.07,8,40.71
경상북도,경주시,7749,231032,335.41,35.48,낮음 (Low),48.45,8,40.67
경상북도,청송군,685,18664,367.02,40.22,중간 (Medium),39.99,7,40.13
인천광역시,중구,4202,142014,295.89,29.57,낮음 (Low),55.68,8,40.01
부산광역시,부산진구,8608,292455,294.34,29.33,낮음 (Low),54.91,8,39.56
전라남도,완도군,1196,38276,312.47,32.05,낮음 (Low),50.77,7,39.54
부산광역시,동구,2275,73215,310.73,31.79,낮음 (Low),50.77,8,39.38
충청북도,제천시,3776,110281,342.4,36.53,낮음 (Low),43.52,8,39.33
전라남도,구례군,708,18410,384.57,42.84,중간 (Medium),33.67,7,39.17
전라남도,목포시,5770,182754,315.72,32.54,낮음 (Low),48.65,8,38.98
전라남도,여수시,6741,227419,296.41,29.64,낮음 (Low),52.48,8,38.78
충청남도,당진시,4350,140995,308.52,31.46,낮음 (Low),49.64,8,38.73
